Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research,Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Payment_Frequency,Time_to_Decision,Delivery_Status
CUST-000014,67.0,Male,Middle,Married,Doctorate,Artist,Los Angeles,Groceries,474.94,4.0,Online,4,1,7.0,High,Not Sensitive,0.94,1,Medium,Smartphone,PayPal,2023-03-05 16:00:00,Yes,Yes,Wants-based,No Preference,One-time,12,Returned
CUST-000015,50.0,Male,Middle,Widowed,Bachelor's,Clerk,Los Angeles,Furniture,488.06,12.0,Mixed,5,4,14.0,High,Very Sensitive,0.52,2,Low,Desktop,Debit Card,2024-04-15 16:00:00,Yes,Yes,Planned,Standard,One-time,30,Returned
CUST-000016,68.0,Male,High,Widowed,High School,Technician,New York,Electronics,414.64,7.0,In-Store,3,2,7.0,Low,Somewhat Sensitive,0.93,5,Medium,Smartphone,PayPal,2024-12-16 12:00:00,No,No,Planned,Standard,One-time,18,Returned
CUST-000017,49.0,Female,Middle,Single,Doctorate,Clerk,Denver,Books,421.69,11.0,In-Store,1,5,5.0,High,Somewhat Sensitive,0.89,10,Medium,Smartphone,PayPal,2024-01-16 15:00:00,Yes,Yes,Wants-based,Standard,Installments,11,Returned
CUST-000018,59.0,Male,Middle,Single,Bachelor's,Manager,Seattle,Electronics,78.25,3.0,Mixed,4,3,12.0,Medium,Somewhat Sensitive,0.33,2,Medium,Smartphone,PayPal,2023-11-01 13:00:00,Yes,No,Planned,Express,One-time,28,Delivered
CUST-000019,34.0,Female,Middle,Married,Master's,Clerk,Miami,Furniture,336.91,7.0,Online,2,5,10.0,Medium,Somewhat Sensitive,0.41,8,Medium,Tablet,Credit Card,2024-01-06 11:00:00,Yes,Yes,Planned,Express,One-time,2,Delivered
CUST-000020,25.0,Male,Low,Single,Bachelor's,Manager,Miami,Groceries,321.39,1.0,Online,4,4,1.0,Low,Somewhat Sensitive,0.27,1,High,Smartphone,Other,2024-05-12 03:00:00,No,Yes,Impulsive,Standard,One-time,26,Returned
CUST-000021,70.0,Female,Middle,Married,High School,Engineer,Seattle,Home Appliances,420.92,19.0,In-Store,3,3,3.0,Medium,Somewhat Sensitive,0.48,6,Medium,Smartphone,Other,2023-06-29 11:00:00,Yes,Yes,Impulsive,Standard,One-time,12,Returned
CUST-000022,36.0,Male,Middle,Married,High School,Doctor,Phoenix,Clothing,7.67,9.0,In-Store,4,5,10.0,Medium,Somewhat Sensitive,0.97,6,Medium,Smartphone,Credit Card,2023-12-11 21:00:00,No,Yes,Impulsive,Standard,One-time,25,Returned
CUST-000023,65.0,Female,Middle,Married,Doctorate,Manager,New York,Beauty,227.97,9.0,Online,2,5,1.0,Medium,Very Sensitive,0.2,9,Low,Smartphone,Credit Card,2023-10-03 06:00:00,Yes,Yes,Wants-based,No Preference,Subscription,10,Delivered
CUST-000024,49.0,Female,Middle,Married,High School,Doctor,Denver,Clothing,49.28,20.0,Online,1,1,6.0,None,Very Sensitive,0.38,6,None,Desktop,Debit Card,2023-02-22 05:00:00,Yes,No,Planned,No Preference,One-time,23,Returned
CUST-000025,66.0,Female,High,Married,Doctorate,Clerk,New York,Home Appliances,154.9,13.0,In-Store,1,2,21.0,Low,Very Sensitive,0.32,4,Medium,Desktop,PayPal,2023-06-29 02:00:00,Yes,Yes,Impulsive,Standard,Installments,17,Returned
CUST-000026,31.0,Male,Middle,Single,Bachelor's,Engineer,Phoenix,Sports,131.92,10.0,Online,3,4,8.0,Low,Somewhat Sensitive,0.39,4,Medium,Desktop,Cash,2023-06-02 02:00:00,No,No,Planned,Standard,One-time,3,Returned
CUST-000027,54.0,Male,Middle,Single,High School,Student,Houston,Books,155.62,14.0,Online,1,1,9.0,None,Not Sensitive,0.85,9,High,Smartphone,Credit Card,2024-07-28 01:00:00,Yes,No,Need-based,Standard,Installments,20,Returned
CUST-000028,39.0,Male,Middle,Divorced,Master's,Manager,New York,Books,391.95,13.0,In-Store,4,3,17.0,Low,Somewhat Sensitive,0.09,2,High,Smartphone,Debit Card,2023-12-03 00:00:00,Yes,Yes,Impulsive,Standard,One-time,1,Returned
CUST-000029,24.0,Female,Middle,Single,Bachelor's,Student,Los Angeles,Furniture,294.17,18.0,Online,5,2,21.0,Medium,Very Sensitive,0.39,6,None,Tablet,Credit Card,2023-02-15 16:00:00,Yes,Yes,Planned,No Preference,One-time,15,Delivered
CUST-000030,20.0,Female,Middle,Married,Bachelor's,Doctor,Phoenix,Books,349.05,9.0,Online,5,1,12.0,High,Not Sensitive,0.91,3,Medium,Smartphone,PayPal,2023-06-29 12:00:00,Yes,Yes,Impulsive,Standard,Installments,12,Returned
CUST-000031,43.0,Male,Middle,Single,Bachelor's,Doctor,New York,Electronics,61.02,15.0,Online,1,2,10.0,High,Somewhat Sensitive,0.74,4,Medium,Smartphone,Credit Card,2023-08-23 13:00:00,No,Yes,Impulsive,Express,One-time,27,Returned
CUST-000032,24.0,Female,Low,Single,Bachelor's,Engineer,Denver,Furniture,379.48,9.0,Online,3,3,0.0,None,Very Sensitive,0.41,3,Low,Tablet,Debit Card,2024-10-27 05:00:00,Yes,Yes,Planned,Standard,One-time,19,Returned
CUST-000033,27.0,Female,Middle,Single,Bachelor's,Technician,Miami,Electronics,101.82,15.0,Online,1,1,20.0,Low,Very Sensitive,0.74,2,Low,Desktop,Credit Card,2023-02-27 12:00:00,No,No,Planned,Standard,One-time,4,Returned
CUST-000034,40.0,Female,Low,Married,High School,Manager,Denver,Groceries,138.56,6.0,Online,5,2,4.0,None,Very Sensitive,0.83,2,High,Desktop,Credit Card,2024-11-05 11:00:00,No,No,Planned,Standard,Subscription,16,Returned
CUST-000035,35.0,Male,Low,Divorced,High School,Manager,Los Angeles,Electronics,222.31,19.0,Online,5,1,5.0,Medium,Very Sensitive,0.55,3,Low,Smartphone,Credit Card,2023-11-20 03:00:00,Yes,No,Planned,Standard,One-time,14,Returned
CUST-000036,18.0,Female,Middle,Single,High School,Manager,Miami,Sports,68.03,5.0,Online,5,3,7.0,Medium,Very Sensitive,0.71,2,Low,Smartphone,PayPal,2023-12-11 18:00:00,Yes,No,Planned,Standard,One-time,14,Returned
CUST-000037,20.0,Male,Low,Married,Bachelor's,Teacher,Miami,Electronics,408.8,6.0,In-Store,3,3,3.0,Low,Somewhat Sensitive,0.75,9,None,Desktop,PayPal,2023-11-15 20:00:00,Yes,Yes,Impulsive,Express,One-time,18,Returned
CUST-000038,18.0,Male,High,Widowed,Bachelor's,Engineer,Seattle,Home Appliances,271.44,12.0,In-Store,3,5,6.0,Medium,Somewhat Sensitive,0.36,6,Low,Smartphone,Other,2024-10-27 12:00:00,No,Yes,Impulsive,Standard,One-time,15,Returned
CUST-000039,51.0,Male,Middle,Divorced,Doctorate,Student,Chicago,Sports,,12.0,Online,4,3,17.0,Medium,Very Sensitive,0.1,1,Low,Smartphone,PayPal,2023-10-21 05:00:00,No,Yes,Wants-based,Standard,Installments,5,Delivered
CUST-000040,34.0,Male,Middle,Single,Doctorate,Sales,Chicago,Home Appliances,250.84,12.0,Online,1,1,10.0,High,Very Sensitive,0.66,10,Medium,Desktop,Debit Card,2023-11-26 01:00:00,No,No,Planned,No Preference,One-time,11,Returned
CUST-000041,51.0,Female,Middle,Married,Master's,Doctor,Denver,Books,85.36,14.0,Online,2,5,11.0,Medium,Very Sensitive,0.27,10,Low,Smartphone,Debit Card,2023-02-24 02:00:00,Yes,No,Impulsive,Standard,One-time,27,Returned
CUST-000042,66.0,Female,Low,Married,Bachelor's,Student,Miami,Beauty,431.82,6.0,Online,4,1,3.0,Low,Very Sensitive,0.96,2,Medium,Smartphone,PayPal,2024-03-21 08:00:00,No,Yes,Need-based,Express,One-time,10,Returned
CUST-000043,26.0,Male,High,Single,High School,Technician,Miami,Electronics,191.82,11.0,Online,2,4,14.0,Medium,Very Sensitive,0.85,1,Medium,Smartphone,Other,2024-04-28 03:00:00,No,Yes,Need-based,Express,One-time,7,Returned
CUST-000044,51.0,Female,High,Single,Master's,Manager,Denver,Clothing,41.31,20.0,Online,3,5,4.0,High,Somewhat Sensitive,0.35,4,Low,Smartphone,PayPal,2023-02-22 14:00:00,No,No,Impulsive,Standard,One-time,2,Returned
CUST-000045,69.0,Male,Low,Single,Bachelor's,Manager,Houston,Groceries,362.66,15.0,Online,3,1,22.0,Medium,Not Sensitive,0.16,7,High,Desktop,Credit Card,2023-09-29 05:00:00,Yes,Yes,Planned,Express,One-time,1,Delivered
CUST-000046,43.0,Female,Middle,Single,Bachelor's,Clerk,Denver,Sports,467.95,8.0,In-Store,4,4,13.0,Medium,Very Sensitive,0.59,7,High,Smartphone,Other,2023-11-16 01:00:00,No,No,Impulsive,Express,One-time,20,Delivered
CUST-000047,59.0,Female,Middle,Married,High School,Student,Phoenix,Groceries,159.91,20.0,Online,2,5,18.0,High,Somewhat Sensitive,0.54,3,Medium,Desktop,Debit Card,2024-08-25 12:00:00,Yes,No,Need-based,Standard,One-time,17,Returned
CUST-000048,60.0,Female,Middle,Widowed,Master's,Sales,Los Angeles,Books,414.25,14.0,Mixed,4,4,12.0,Medium,Not Sensitive,0.85,9,Medium,Smartphone,Credit Card,2023-05-10 01:00:00,Yes,Yes,Planned,Standard,One-time,6,Delivered
CUST-000049,54.0,Female,Middle,Married,High School,Artist,New York,Electronics ,220.22,13.0,Online,2,3,23.0,Low,Somewhat Sensitive,0.03,7,Medium,Smartphone,PayPal,2023-04-11 18:00:00,Yes,Yes,Need-based,Standard,One-time,6,Delivered
CUST-000050,53.0,Male,Low,Married,Bachelor's,Artist,Phoenix,Furniture,83.7,3.0,Online,4,2,14.0,Medium,Somewhat Sensitive,0.19,9,Medium,Desktop,Credit Card,2023-04-20 02:00:00,No,No,Planned,Standard,One-time,25,Delivered
CUST-000051,61.0,Female,Middle,Single,Bachelor's,Artist,Phoenix,Groceries,26.87,13.0,Online,5,5,5.0,Medium,Not Sensitive,0.8,4,Low,Smartphone,Credit Card,2023-02-24 17:00:00,No,Yes,Need-based,Standard,One-time,22,Delivered
CUST-000052,45.0,Male,Low,Single,Bachelor's,Clerk,Denver,Electronics,461.85,2.0,Online,3,4,16.0,Low,Somewhat Sensitive,0.3,4,Low,Smartphone,Credit Card,2024-05-13 12:00:00,No,Yes,Impulsive,Standard,One-time,20,Returned
CUST-000053,41.0,Male,Low,Married,High School,Technician,New York,Home Appliances,39.47,3.0,Online,2,2,1.0,High,Very Sensitive,0.43,6,High,Smartphone,Credit Card,2023-04-02 05:00:00,No,Yes,Planned,Express,One-time,25,Delivered
CUST-000054,18.0,Male,High,Married,Bachelor's,Technician,Denver,Furniture,191.21,20.0,Online,2,5,18.0,Low,Somewhat Sensitive,0.61,10,High,Smartphone,Credit Card,2024-07-25 20:00:00,No,No,Wants-based,Standard,One-time,27,Delivered
CUST-000055,27.0,Male,Low,Married,Master's,Student,Los Angeles,Books,174.79,2.0,Online,1,3,7.0,Medium,Somewhat Sensitive,0.3,7,Low,Smartphone,Debit Card,2023-10-09 15:00:00,Yes,No,Impulsive,Express,One-time,6,Returned
CUST-000056,47.0,Male,Low,Married,High School,Student,Seattle,Clothing,165.28,1.0,Online,5,5,13.0,Medium,Somewhat Sensitive,0.46,6,Medium,Smartphone,Debit Card,2024-02-28 22:00:00,Yes,No,Impulsive,Standard,One-time,1,Delivered
CUST-000057,65.0,Female,Middle,Single,Bachelor's,Technician,Phoenix,Beauty,211.58,8.0,In-Store,5,2,5.0,Medium,Very Sensitive,0.36,1,Medium,Smartphone,PayPal,2024-11-04 15:00:00,No,Yes,Wants-based,Standard,One-time,8,Returned
CUST-000058,27.0,Male,Middle,Married,Bachelor's,Clerk,Miami,Furniture,286.68,15.0,Online,3,5,3.0,High,Somewhat Sensitive,0.69,8,High,Smartphone,Credit Card,2024-04-27 21:00:00,No,No,Impulsive,Standard,One-time,7,Returned
CUST-000059,30.0,Male,Low,Single,Bachelor's,Student,Los Angeles,Sports,341.42,14.0,In-Store,3,5,11.0,None,Somewhat Sensitive,0.45,10,Medium,Smartphone,Credit Card,2024-07-16 13:00:00,No,Yes,Need-based,Express,One-time,25,Delivered
CUST-000060,32.0,Male,Low,Married,Bachelor's,Teacher,Chicago,Beauty,430.72,15.0,In-Store,4,1,4.0,Medium,Very Sensitive,0.08,2,Low,Desktop,Credit Card,2023-06-12 05:00:00,Yes,Yes,Need-based,No Preference,One-time,19,Returned
CUST-000061,57.0,Female,Middle,Single,Master's,Teacher,Los Angeles,Groceries,325.85,4.0,Online,4,4,8.0,Low,Somewhat Sensitive,0.51,7,Low,Desktop,PayPal,2024-11-08 05:00:00,Yes,No,Impulsive,Standard,Subscription,7,Delivered
CUST-000062,28.0,Male,Low,Single,Bachelor's,Teacher,New York,Clothing,470.73,11.0,Online,3,3,2.0,Low,Not Sensitive,0.48,9,None,Smartphone,Debit Card,2024-03-12 05:00:00,No,No,Need-based,Express,One-time,20,Delivered
CUST-000063,28.0,Female,Middle,Widowed,High School,Sales,Chicago,Sports,147.91,,In-Store,1,1,16.0,Low,Somewhat Sensitive,0.58,3,None,Smartphone,Credit Card,2024-04-05 15:00:00,Yes,No,Impulsive,Standard,One-time,19,Returned
CUST-000064,67.0,Female,Middle,Single,High School,Manager,Denver,Groceries,210.71,1.0,Mixed,3,2,1.0,High,Somewhat Sensitive,0.81,1,Low,Desktop,Credit Card,2023-04-02 11:00:00,Yes,Yes,Need-based,Standard,One-time,1,Returned
CUST-000065,20.0,Female,Middle,Widowed,Bachelor's,Manager,Chicago,Home Appliances,154.61,3.0,In-Store,3,4,16.0,Medium,Not Sensitive,0.15,6,None,Desktop,Debit Card,2023-02-27 01:00:00,No,Yes,Impulsive,No Preference,Subscription,26,Delivered
CUST-000066,50.0,Female,Middle,Single,Master's,Clerk,Chicago,Groceries,55.34,14.0,Online,1,2,17.0,Medium,Somewhat Sensitive,0.71,9,Low,Smartphone,PayPal,2024-09-23 08:00:00,Yes,No,Impulsive,Standard,One-time,9,Returned
CUST-000067,45.0,Female,Low,Married,High School,Doctor,Denver,Books,193.24,5.0,Mixed,5,3,8.0,Low,Somewhat Sensitive,0.35,3,Medium,Desktop,Credit Card,2024-12-14 17:00:00,No,No,Wants-based,Standard,One-time,3,Returned
CUST-000068,18.0,Male,Middle,Single,Bachelor's,Sales,Denver,Books,271.41,6.0,Online,2,3,22.0,High,Somewhat Sensitive,0.93,6,Medium,Smartphone,Credit Card,2024-07-01 07:00:00,Yes,No,Planned,Express,One-time,21,Delivered
CUST-000069,51.0,Male,Middle,Married,Bachelor's,Clerk,Seattle,Sports,205.52,12.0,Online,1,5,23.0,High,Somewhat Sensitive,0.89,1,Low,Tablet,PayPal,2024-04-15 19:00:00,No,Yes,Need-based,Standard,One-time,9,Returned
CUST-000070,56.0,Female,Low,Married,Master's,Doctor,New York,Electronics,339.84,19.0,Online,2,5,4.0,Medium,Somewhat Sensitive,0.22,7,Low,Desktop,Credit Card,2024-03-21 11:00:00,Yes,No,Planned,Express,One-time,0,Delivered
CUST-000071,28.0,Male,Low,Single,Master's,Engineer,Denver,Sports,80.95,2.0,In-Store,3,4,20.0,None,Not Sensitive,0.39,5,Medium,Tablet,Credit Card,2023-03-06 22:00:00,No,Yes,Wants-based,Standard,One-time,20,Delivered
CUST-000072,44.0,Male,Low,Single,High School,Manager,Los Angeles,Sports,393.76,9.0,Mixed,3,1,12.0,Medium,Very Sensitive,0.13,9,None,Smartphone,Debit Card,2024-02-03 14:00:00,Yes,No,Planned,Standard,Subscription,29,Returned
CUST-000073,29.0,Female,Middle,Married,Bachelor's,Artist,Denver,Home Appliances,318.41,4.0,Online,2,5,5.0,Medium,Not Sensitive,0.89,1,Medium,Tablet,Other,2023-02-02 07:00:00,Yes,Yes,Need-based,Standard,One-time,20,Returned
CUST-000074,68.0,Female,Middle,Divorced,Master's,Manager,Phoenix,Books,61.84,8.0,Online,4,5,23.0,Low,Somewhat Sensitive,0.19,3,High,Desktop,PayPal,2023-05-16 00:00:00,Yes,Yes,Impulsive,No Preference,One-time,29,Returned
CUST-000075,51.0,Female,Middle,Married,Bachelor's,Student,Denver,Furniture,149.49,14.0,In-Store,3,4,9.0,High,Somewhat Sensitive,0.79,5,None,Desktop,Other,2023-10-31 20:00:00,Yes,Yes,Planned,Express,Installments,6,Delivered
CUST-000076,,Female,Middle,Married,High School,Student,Houston,Clothing,81.67,17.0,Online,1,1,11.0,Medium,Very Sensitive,0.41,2,High,Tablet,Credit Card,2024-05-03 14:00:00,Yes,Yes,Impulsive,Express,One-time,30,Returned
CUST-000077,34.0,Male,Middle,Widowed,High School,Artist,Phoenix,Groceries,463.63,9.0,Online,2,3,6.0,None,Very Sensitive,0.48,7,Low,Desktop,Credit Card,2024-10-28 18:00:00,No,No,Need-based,Express,One-time,14,Delivered
CUST-000078,68.0,Female,Middle,Married,Doctorate,Artist,Houston,Groceries,357.71,15.0,Online,1,3,24.0,Medium,Somewhat Sensitive,0.02,8,Medium,Desktop,PayPal,2023-03-27 16:00:00,No,No,Planned,No Preference,One-time,3,Delivered
CUST-000079,54.0,Male,Low,Married,High School,Manager,Seattle,Home Appliances,249.09,19.0,Online,2,2,11.0,Low,Somewhat Sensitive,0.22,8,None,Smartphone,Credit Card,2023-12-14 21:00:00,Yes,Yes,Planned,No Preference,One-time,30,Delivered
CUST-000080,18.0,Female,Middle,Married,High School,Sales,New York,Books,68.62,6.0,Online,4,4,19.0,Medium,Not Sensitive,0.67,7,Medium,Tablet,Debit Card,2024-05-20 15:00:00,Yes,No,Need-based,Express,Installments,14,Delivered
CUST-000081,66.0,Male,Low,Married,High School,Student,Phoenix,Beauty,419.57,7.0,In-Store,3,1,22.0,High,Very Sensitive,0.75,6,Low,Smartphone,Credit Card,2024-05-23 22:00:00,No,No,Planned,Express,Subscription,12,Returned
CUST-000082,27.0,Male,Low,Married,Bachelor's,Student,Los Angeles,Electronics,228.44,5.0,Online,1,1,22.0,Medium,Not Sensitive,0.81,5,Medium,Tablet,PayPal,2024-09-19 19:00:00,Yes,No,Impulsive,Standard,One-time,22,Returned
CUST-000083,49.0,Male,High,Married,High School,Teacher,Chicago,Electronics,,,Online,2,4,24.0,High,Very Sensitive,0.42,4,Low,Smartphone,Credit Card,2024-01-23 07:00:00,Yes,No,Wants-based,No Preference,One-time,17,Returned
CUST-000084,49.0,Male,Middle,Married,Master's,Clerk,New York,Home Appliances,44.9,1.0,Online,4,4,1.0,None,Very Sensitive,0.27,10,None,Desktop,Cash,2023-06-13 04:00:00,Yes,Yes,Impulsive,Standard,One-time,17,Delivered
CUST-000085,32.0,Female,Low,Married,Bachelor's,Teacher,Phoenix,Electronics,306.11,5.0,Online,1,4,6.0,None,Somewhat Sensitive,0.9,1,Medium,Desktop,Debit Card,2023-10-08 15:00:00,Yes,Yes,Planned,Express,One-time,3,Returned
CUST-000086,34.0,Male,High,Single,Bachelor's,Engineer,Phoenix,Clothing,12.67,15.0,In-Store,4,5,0.0,None,Somewhat Sensitive,0.3,7,High,Smartphone,PayPal,2024-03-30 14:00:00,Yes,No,Wants-based,No Preference,One-time,27,Delivered
CUST-000087,37.0,Female,High,Single,Doctorate,Teacher,Denver,Groceries,166.67,14.0,Online,5,2,16.0,High,Somewhat Sensitive,0.57,3,High,Desktop,Other,2023-03-26 17:00:00,Yes,Yes,Impulsive,Express,One-time,1,Returned
CUST-000088,30.0,Female,Low,Single,Master's,Manager,Chicago,Home Appliances,86.56,,In-Store,5,2,7.0,Low,Very Sensitive,0.9,7,Low,Desktop,Credit Card,2023-09-11 16:00:00,No,Yes,Need-based,Standard,Installments,1,Returned
CUST-000089,48.0,Female,Middle,Widowed,High School,Doctor,Denver,Books,183.91,12.0,Online,3,3,7.0,Medium,Somewhat Sensitive,0.63,9,Medium,Smartphone,PayPal,2023-06-04 16:00:00,Yes,No,Need-based,Standard,One-time,19,Delivered
CUST-000090,54.0,Female,High,Married,High School,Student,New York,Beauty,265.23,1.0,Online,5,3,15.0,Low,Somewhat Sensitive,0.62,1,High,Tablet,Cash,2024-12-29 07:00:00,Yes,No,Planned,No Preference,One-time,25,Returned
CUST-000091,52.0,Male,Low,Married,Doctorate,Teacher,Denver,Home Appliances,245.69,1.0,Online,2,4,16.0,High,Somewhat Sensitive,0.71,1,High,Smartphone,PayPal,2024-10-30 14:00:00,Yes,Yes,Planned,Standard,One-time,13,Returned
CUST-000092,42.0,Female,High,Married,High School,Manager,Chicago,Sports,238.78,10.0,Online,5,4,17.0,High,Not Sensitive,0.59,7,High,Smartphone,PayPal,2024-06-04 15:00:00,No,No,Planned,Standard,Subscription,16,Delivered
CUST-000093,29.0,Male,Middle,Married,High School,Artist,Miami,Home Appliances,453.76,4.0,Online,1,3,24.0,Medium,Very Sensitive,0.13,8,Medium,Desktop,Credit Card,2023-10-10 00:00:00,No,Yes,Planned,Express,One-time,9,Delivered
CUST-000094,18.0,Male,Low,Single,Doctorate,Sales,Los Angeles,Books,403.59,,In-Store,1,5,4.0,Medium,Not Sensitive,0.01,3,Low,Tablet,Credit Card,2024-12-28 11:00:00,Yes,No,Need-based,Express,Installments,1,Delivered
CUST-000095,38.0,Female,Low,Married,High School,Teacher,New York,Clothing,364.51,17.0,Online,3,1,13.0,Medium,Very Sensitive,0.83,5,Medium,Desktop,PayPal,2023-12-13 21:00:00,No,No,Need-based,Standard,One-time,14,Returned
CUST-000096,69.0,Female,High,Single,Master's,Sales,New York,Furniture,431.5,3.0,Online,3,4,8.0,High,Very Sensitive,0.81,4,Medium,Smartphone,PayPal,2024-11-02 05:00:00,No,No,Need-based,Standard,One-time,28,Returned
CUST-000097,69.0,Male,Middle,Single,Bachelor's,Doctor,Houston,Furniture,10.64,13.0,Online,1,3,22.0,Medium,Very Sensitive,0.1,2,Medium,Smartphone,PayPal,2023-07-14 04:00:00,Yes,No,Need-based,Standard,One-time,13,Returned
CUST-000098,34.0,Male,Middle,Single,High School,Technician,Phoenix,Electronics,249.88,4.0,In-Store,4,1,1.0,Low,Not Sensitive,0.96,8,Low,Smartphone,Debit Card,2023-08-21 03:00:00,No,Yes,Planned,No Preference,One-time,30,Delivered
CUST-000099,20.0,Female,Middle,Single,High School,Manager,Seattle,Sports,244.14,9.0,In-Store,5,4,17.0,Medium,Somewhat Sensitive,0.18,1,High,Smartphone,PayPal,2023-11-24 11:00:00,Yes,No,Need-based,Standard,One-time,5,Delivered
CUST-000100,18.0,Female,Middle,Married,High School,Engineer,Houston,Groceries,456.24,17.0,Online,5,3,2.0,Medium,Not Sensitive,0.99,10,Medium,Smartphone,Credit Card,2024-10-25 09:00:00,No,No,Planned,Standard,One-time,20,Delivered
CUST-000101,35.0,Male,Low,Single,Doctorate,Clerk,Chicago,Electronics,271.09,1.0,Online,3,1,0.0,None,Somewhat Sensitive,0.39,5,High,Smartphone,PayPal,2023-08-21 09:00:00,No,No,Impulsive,Express,Subscription,19,Returned
CUST-000102,34.0,Female,High,Single,Bachelor's,Manager,Los Angeles,Clothing,257.98,19.0,Mixed,5,3,23.0,High,Somewhat Sensitive,0.88,10,None,Smartphone,Credit Card,2024-08-12 11:00:00,Yes,Yes,Impulsive,Standard,Installments,19,Delivered
CUST-000103,43.0,Male,Low,Single,Bachelor's,Artist,Houston,Clothing,,19.0,Online,5,1,22.0,High,Very Sensitive,0.81,4,Low,Desktop,Debit Card,2023-07-30 21:00:00,Yes,Yes,Impulsive,Express,Subscription,6,Returned
